SLOT	Player_name	Player_team	Player_position	Player_projection	Player_score	Matchup	Owner	Week
QB	Justin Fields	NYJ	QB	18.6	11.94	TN_v_JR	TN	1
RB	Najee Harris	LAC	RB	11.3	8.9	TN_v_JR	TN	1
RB	Tyler Allgeier	Atl	RB	7.5	2.1	TN_v_JR	TN	1
WR	Tyreek Hill	Mia	WR	19.7	26.0	TN_v_JR	TN	1
WR	Garrett Wilson	NYJ	WR	16.5	12.0	TN_v_JR	TN	1
TE	Sam LaPorta	Det	TE	14.1	8.5	TN_v_JR	TN	1
FLEX	Marvin Harrison Jr.	Ari	WR	15.4	1.4	TN_v_JR	TN	1
OP	Matthew Stafford	LAR	QB	17.1	15.68	TN_v_JR	TN	1
D/ST	Jets	NYJ	D/ST	4.7	-1.0	TN_v_JR	TN	1
Bench	Deebo Samuel Sr.	Wsh	WR	16.2	18.7	TN_v_JR	TN	1
Bench	Kirk Cousins	Atl	QB	16.2	8.2	TN_v_JR	TN	1
Bench	Jerry Jeudy	Cle	WR	11.3	11.5	TN_v_JR	TN	1
Bench	Nick Chubb	Cle	RB	0.0	0.0	TN_v_JR	TN	1
Bench	Blake Corum	LAR	RB	5.7	0.0	TN_v_JR	TN	1
Bench	Cole Kmet	Chi	TE	7.2	1.4	TN_v_JR	TN	1
Bench	Tyler Boyd	Ten	WR	7.1	4.8	TN_v_JR	TN	1
QB	Brock Purdy	SF	QB	17.4	10.34	TN_v_JR	JR	1
RB	Bijan Robinson	Atl	RB	18.6	16.1	TN_v_JR	JR	1
RB	Kenneth Walker III	Sea	RB	16.1	18.9	TN_v_JR	JR	1
WR	A.J. Brown	Phi	WR	17.2	22.9	TN_v_JR	JR	1
WR	Mike Evans	TB	WR	15.2	23.1	TN_v_JR	JR	1
TE	Jake Ferguson	Dal	TE	10.5	4.5	TN_v_JR	JR	1
FLEX	Rhamondre Stevenson	NE	RB	13.1	21.6	TN_v_JR	JR	1
OP	Deshaun Watson	Cle	QB	17.2	12.66	TN_v_JR	JR	1
D/ST	Dolphins	Mia	D/ST	7.6	10.0	TN_v_JR	JR	1
Bench	Tee Higgins	Cin	WR	0.0	0.0	TN_v_JR	JR	1
Bench	Xavier Worthy	KC	WR	11.4	20.8	TN_v_JR	JR	1
Bench	Antonio Gibson	NE	RB	8.5	1.8	TN_v_JR	JR	1
Bench	Keon Coleman	Buf	WR	11.6	9.1	TN_v_JR	JR	1
Bench	Brock Bowers	LV	TE	9.8	11.8	TN_v_JR	JR	1
Bench	Miles Sanders	Dal	RB	7.2	2.2	TN_v_JR	JR	1
Bench	Xavier Legette	Car	WR	4.4	7.5	TN_v_JR	JR	1
QB	Kyler Murray	Ari	QB	18.7	14.18	AY_v_MR	AY	1
RB	James Cook	Buf	RB	17.3	13.3	AY_v_MR	AY	1
RB	Joe Mixon	Hou	RB	16.3	26.8	AY_v_MR	AY	1
WR	Drake London	Atl	WR	14.4	3.5	AY_v_MR	AY	1
WR	Rashee Rice	KC	WR	14.0	17.3	AY_v_MR	AY	1
TE	Dalton Schultz	Hou	TE	9.2	4.6	AY_v_MR	AY	1
FLEX	Calvin Ridley	Ten	WR	14.4	8.0	AY_v_MR	AY	1
OP	Daniel Jones	Ind	QB	17.5	6.94	AY_v_MR	AY	1
D/ST	Seahawks	Sea	D/ST	8.6	13.0	AY_v_MR	AY	1
Bench	Ja'Marr Chase	Cin	WR	16.7	12.2	AY_v_MR	AY	1
Bench	Terry McLaurin	Wsh	WR	13.2	3.7	AY_v_MR	AY	1
Bench	Chuba Hubbard	Car	RB	11.6	1.4	AY_v_MR	AY	1
