SLOT	Player_name	Player_team	Player_position	Player_projection	Player_score	Matchup	Owner	Week
QB	Carson Wentz	Phi	QB	22.3	28.15	JM_v_JR	JM	1
RB	Dalvin Cook	Min	RB	16.6	26.0	JM_v_JR	JM	1
RB	Duke Johnson	Hou	RB	12.3	13.0	JM_v_JR	JM	1
WR	Brandin Cooks	LAR	WR	14.4	5.9	JM_v_JR	JM	1
WR	Allen Robinson II	Chi	WR	12.9	17.2	JM_v_JR	JM	1
TE	Evan Engram	NYG	TE	12.0	28.6	JM_v_JR	JM	1
FLEX	Julio Jones	Atl	WR	16.9	15.1	JM_v_JR	JM	1
D/ST	Seahawks	Sea	D/ST	5.3	12.0	JM_v_JR	JM	1
Bench	Matt Breida	SF	RB	10.7	3.7	JM_v_JR	JM	1
Bench	Bears	Chi	D/ST	8.5	11.0	JM_v_JR	JM	1
Bench	DK Metcalf	Sea	WR	8.6	12.9	JM_v_JR	JM	1
Bench	Ty Montgomery	NYJ	RB	6.4	0.4	JM_v_JR	JM	1
Bench	Adam Humphries	Ten	WR	9.1	1.5	JM_v_JR	JM	1
Bench	Tyrell Williams	Oak	WR	12.4	22.5	JM_v_JR	JM	1
Bench	Jamaal Williams	GB	RB	6.6	3.5	JM_v_JR	JM	1
QB	Patrick Mahomes	KC	QB	23.4	31.1	JM_v_JR	JR	1
RB	Le'Veon Bell	NYJ	RB	15.9	23.2	JM_v_JR	JR	1
RB	Joe Mixon	Cin	RB	16.2	3.7	JM_v_JR	JR	1
WR	Robert Woods	LAR	WR	13.4	16.6	JM_v_JR	JR	1
WR	Sterling Shepard	NYG	WR	13.9	10.2	JM_v_JR	JR	1
TE	Vance McDonald	Pit	TE	9.6	6.0	JM_v_JR	JR	1
FLEX	Derrius Guice	Wsh	RB	12.7	6.8	JM_v_JR	JR	1
D/ST	Colts	Ind	D/ST	5.7	5.0	JM_v_JR	JR	1
Bench	Mike Williams	LAC	WR	12.7	4.9	JM_v_JR	JR	1
Bench	Golden Tate	NYG	WR	0.0	0.0	JM_v_JR	JR	1
Bench	DeSean Jackson	Phi	WR	8.9	35.4	JM_v_JR	JR	1
Bench	Royce Freeman	Den	RB	9.7	7.1	JM_v_JR	JR	1
Bench	DaeSean Hamilton	Den	WR	9.2	2.5	JM_v_JR	JR	1
Bench	Mike Davis	Car	RB	4.6	9.6	JM_v_JR	JR	1
Bench	Nick Foles	Jax	QB	18.2	7.75	JM_v_JR	JR	1
QB	Matt Ryan	Atl	QB	21.0	23.6	TN_v_MR	TN	1
RB	Alvin Kamara	NO	RB	21.2	23.9	TN_v_MR	TN	1
RB	Mark Ingram II	Bal	RB	14.3	22.7	TN_v_MR	TN	1
WR	Mike Evans	TB	WR	16.0	4.8	TN_v_MR	TN	1
WR	Tyler Boyd	Cin	WR	14.1	14.3	TN_v_MR	TN	1
TE	David Njoku	Cle	TE	8.8	13.7	TN_v_MR	TN	1
FLEX	Calvin Ridley	Atl	WR	11.5	16.4	TN_v_MR	TN	1
D/ST	Broncos	Den	D/ST	7.2	-1.0	TN_v_MR	TN	1
Bench	James White	NE	RB	13.9	13.2	TN_v_MR	TN	1
Bench	Curtis Samuel	Car	WR	10.2	6.2	TN_v_MR	TN	1
Bench	Jordan Howard	Phi	RB	8.8	7.5	TN_v_MR	TN	1
Bench	Marquise Brown	Bal	WR	7.9	30.7	TN_v_MR	TN	1
Bench	Jaguars	Jax	D/ST	5.2	-8.0	TN_v_MR	TN	1
Bench	Mitchell Trubisky	Chi	QB	21.5	11.5	TN_v_MR	TN	1
Bench	Jimmy Graham	GB	TE	8.1	12.0	TN_v_MR	TN	1
QB	Dak Prescott	Dal	QB	24.0	37.45	TN_v_MR	MR	1
RB	Kerryon Johnson	Det	RB	15.0	8.2	TN_v_MR	MR	1
RB	Sony Michel	NE	RB	11.9	1.4	TN_v_MR	MR	1
WR	JuJu Smith-Schuster	Pit	WR	18.0	13.8	TN_v_MR	MR	1
WR	Chris Godwin	TB	WR	12.6	14.3	TN_v_MR	MR	1
TE	Kyle Rudolph	Min	TE	8.3	0.0	TN_v_MR	MR	1
FLEX	Phillip Lindsay	Den	RB	11.9	10.6	TN_v_MR	MR	1
D/ST	Patriots	NE	D/ST	5.8	8.0	TN_v_MR	MR	1
Bench	Marlon Mack	Ind	RB	11.0	25.4	TN_v_MR	MR	1
Bench	Christian Kirk	Ari	WR	10.3	10.4	TN_v_MR	MR	1
Bench	Will Fuller V	Hou	WR	9.4	8.9	TN_v_MR	MR	1
Bench	Dion Lewis	Ten	RB	8.1	4.3	TN_v_MR	MR	1
Bench	Geronimo Allison	GB	WR	7.4	0.0	TN_v_MR	MR	1
Bench	Eric Ebron	Ind	TE	7.4	1.8	TN_v_MR	MR	1
Bench	Russell Wilson	Sea	QB	20.9	18.55	TN_v_MR	MR	1
QB	Jameis Winston	TB	QB	22.6	12.0	ZW_v_MF	ZW	1
RB	Saquon Barkley	NYG	RB	23.1	17.9	ZW_v_MF	ZW	1
RB	Josh Jacobs	Oak	RB	15.6	24.3	ZW_v_MF	ZW	1
WR	Amari Cooper	Dal	WR	15.1	22.6	ZW_v_MF	ZW	1
WR	Cooper Kupp	LAR	WR	12.6	11.6	ZW_v_MF	ZW	1
TE	Hunter Henry	LAC	TE	10.0	10.0	ZW_v_MF	ZW	1
FLEX	Sammy Watkins	KC	WR	10.7	46.8	ZW_v_MF	ZW	1
D/ST	Chargers	LAC	D/ST	8.5	1.0	ZW_v_MF	ZW	1
Bench	Devin Singletary	Buf	RB	10.1	14.8	ZW_v_MF	ZW	1
