SLOT	Player_name	Player_team	Player_position	Player_projection	Player_score	Matchup	Owner	Week
Bench	Jerick McKinnon	SF	RB	5.9	13.4	ZW_v_MF	ZW	1
Bench	James Robinson	Jax	RB	8.8	10.0	ZW_v_MF	ZW	1
IR	Ryquell Armstead	Jax	RB	0.0	0.0	ZW_v_MF	ZW	1
IR	Empty	--	--	--	--	ZW_v_MF	ZW	1
IR	Empty	--	--	--	--	ZW_v_MF	ZW	1
IR	Empty	--	--	--	--	ZW_v_MF	ZW	1
QB	Tom Brady	TB	QB	22.2	24.85	ZW_v_MF	MF	1
RB	Austin Ekeler	LAC	RB	15.6	9.7	ZW_v_MF	MF	1
RB	Raheem Mostert	SF	RB	10.8	25.1	ZW_v_MF	MF	1
WR	DeAndre Hopkins	Ari	WR	15.8	29.1	ZW_v_MF	MF	1
WR	Tyler Lockett	Sea	WR	14.6	17.2	ZW_v_MF	MF	1
TE	Tyler Higbee	LAR	TE	10.2	7.0	ZW_v_MF	MF	1
FLEX	Jamison Crowder	NYJ	WR	12.0	24.5	ZW_v_MF	MF	1
D/ST	Saints	NO	D/ST	5.5	18.0	ZW_v_MF	MF	1
Bench	Emmanuel Sanders	NO	WR	10.5	10.5	ZW_v_MF	MF	1
Bench	J.K. Dobbins	Bal	RB	8.3	14.2	ZW_v_MF	MF	1
Bench	Darius Slayton	NYG	WR	9.3	28.2	ZW_v_MF	MF	1
Bench	Parris Campbell	Ind	WR	8.2	14.0	ZW_v_MF	MF	1
Bench	T.J. Hockenson	Det	TE	8.7	16.6	ZW_v_MF	MF	1
Bench	Cam Newton	NE	QB	21.2	27.25	ZW_v_MF	MF	1
Bench	Darrynton Evans	Ten	RB	0.0	0.0	ZW_v_MF	MF	1
IR	Empty	--	--	--	--	ZW_v_MF	MF	1
IR	Empty	--	--	--	--	ZW_v_MF	MF	1
IR	Empty	--	--	--	--	ZW_v_MF	MF	1
IR	Empty	--	--	--	--	ZW_v_MF	MF	1
QB	Deshaun Watson	Hou	QB	25.5	24.35	AY_v_EM	AY	1
RB	Ezekiel Elliott	Dal	RB	20.5	27.7	AY_v_EM	AY	1
RB	Chris Carson	Sea	RB	15.3	24.6	AY_v_EM	AY	1
WR	Tyreek Hill	KC	WR	16.8	15.6	AY_v_EM	AY	1
WR	Terry McLaurin	Wsh	WR	13.0	11.1	AY_v_EM	AY	1
TE	Chris Herndon	NYJ	TE	7.9	7.7	AY_v_EM	AY	1
FLEX	Marquise Brown	Bal	WR	11.9	15.1	AY_v_EM	AY	1
D/ST	Eagles	Phi	D/ST	9.6	6.0	AY_v_EM	AY	1
Bench	Latavius Murray	NO	RB	6.9	4.8	AY_v_EM	AY	1
Bench	Tevin Coleman	SF	RB	8.4	3.4	AY_v_EM	AY	1
Bench	AJ Dillon	GB	RB	2.4	1.4	AY_v_EM	AY	1
Bench	Preston Williams	Mia	WR	10.7	6.1	AY_v_EM	AY	1
Bench	Daniel Jones	NYG	QB	18.2	22.15	AY_v_EM	AY	1
Bench	Cardinals	Ari	D/ST	5.9	4.0	AY_v_EM	AY	1
Bench	Kendrick Bourne	SF	WR	7.5	5.4	AY_v_EM	AY	1
IR	Deebo Samuel	SF	WR	0.0	0.0	AY_v_EM	AY	1
IR	Empty	--	--	--	--	AY_v_EM	AY	1
IR	Empty	--	--	--	--	AY_v_EM	AY	1
IR	Empty	--	--	--	--	AY_v_EM	AY	1
QB	Matthew Stafford	LAR	QB	19.0	20.15	AY_v_EM	EM	1
RB	Clyde Edwards-Helaire	KC	RB	15.3	19.8	AY_v_EM	EM	1
RB	Leonard Fournette	TB	RB	7.0	2.9	AY_v_EM	EM	1
WR	Chris Godwin	TB	WR	16.9	13.9	AY_v_EM	EM	1
WR	Will Fuller V	Hou	WR	13.5	19.2	AY_v_EM	EM	1
TE	Mark Andrews	Bal	TE	13.6	22.8	AY_v_EM	EM	1
FLEX	Stefon Diggs	Buf	WR	13.2	16.6	AY_v_EM	EM	1
D/ST	Ravens	Bal	D/ST	8.1	15.0	AY_v_EM	EM	1
Bench	A.J. Green	Cin	WR	12.1	10.1	AY_v_EM	EM	1
Bench	Darrell Henderson Jr.	LAR	RB	5.8	0.6	AY_v_EM	EM	1
Bench	Jared Cook	FA	TE	9.4	13.0	AY_v_EM	EM	1
Bench	Aaron Rodgers	GB	QB	19.3	34.4	AY_v_EM	EM	1
Bench	Larry Fitzgerald	Ari	WR	8.9	7.4	AY_v_EM	EM	1
Bench	Curtis Samuel	Car	WR	9.8	9.3	AY_v_EM	EM	1
Bench	Jamaal Williams	GB	RB	6.8	8.2	AY_v_EM	EM	1
IR	Empty	--	--	--	--	AY_v_EM	EM	1
IR	Empty	--	--	--	--	AY_v_EM	EM	1
IR	Empty	--	--	--	--	AY_v_EM	EM	1
IR	Empty	--	--	--	--	AY_v_EM	EM	1
QB	Russell Wilson	Sea	QB	22.9	35.0	CM_v_DW	CM	1
RB	Kenyan Drake	Ari	RB	16.4	14.5	CM_v_DW	CM	1
RB	David Johnson	Hou	RB	14.9	19.9	CM_v_DW	CM	1
WR	Michael Thomas	NO	WR	20.3	4.7	CM_v_DW	CM	1
WR	Amari Cooper	Dal	WR	13.4	18.1	CM_v_DW	CM	1
TE	Zach Ertz	Phi	TE	12.5	10.8	CM_v_DW	CM	1
FLEX	Robby Anderson	Car	WR	10.7	25.4	CM_v_DW	CM	1
D/ST	Chargers	LAC	D/ST	7.8	13.0	CM_v_DW	CM	1
Bench	David Montgomery	Chi	RB	10.2	8.4	CM_v_DW	CM	1
Bench	Ronald Jones II	TB	RB	10.1	10.2	CM_v_DW	CM	1
Bench	DeSean Jackson	FA	WR	11.6	6.6	CM_v_DW	CM	1
Bench	Zack Moss	Buf	RB	9.9	11.7	CM_v_DW	CM	1
Bench	Justin Jefferson	Min	WR	6.1	4.6	CM_v_DW	CM	1
Bench	Jalen Reagor	Phi	WR	7.3	6.5	CM_v_DW	CM	1
Bench	Carson Wentz	Ind	QB	21.2	17.7	CM_v_DW	CM	1
IR	Empty	--	--	--	--	CM_v_DW	CM	1
IR	Empty	--	--	--	--	CM_v_DW	CM	1
IR	Empty	--	--	--	--	CM_v_DW	CM	1
IR	Empty	--	--	--	--	CM_v_DW	CM	1
QB	Lamar Jackson	Bal	QB	25.5	30.25	CM_v_DW	DW	1
RB	Christian McCaffrey	Car	RB	24.6	28.5	CM_v_DW	DW	1
RB	Todd Gurley II	Atl	RB	15.6	13.7	CM_v_DW	DW	1
WR	A.J. Brown	Ten	WR	13.7	8.9	CM_v_DW	DW	1
WR	Michael Gallup	Dal	WR	13.2	8.0	CM_v_DW	DW	1
TE	Jack Doyle	Ind	TE	8.8	7.9	CM_v_DW	DW	1
FLEX	James Conner	Pit	RB	16.2	3.7	CM_v_DW	DW	1
D/ST	Steelers	Pit	D/ST	9.3	10.0	CM_v_DW	DW	1
Bench	Antonio Gibson	Wsh	RB	12.4	6.4	CM_v_DW	DW	1
Bench	Sterling Shepard	NYG	WR	12.6	10.7	CM_v_DW	DW	1
Bench	Josh Allen	Buf	QB	22.8	31.3	CM_v_DW	DW	1
Bench	Hayden Hurst	Atl	TE	8.9	6.8	CM_v_DW	DW	1
Bench	Randall Cobb	Hou	WR	9.0	4.3	CM_v_DW	DW	1
Bench	Darrel Williams	KC	RB	7.4	5.0	CM_v_DW	DW	1
Bench	Blake Jarwin	Dal	TE	7.2	2.2	CM_v_DW	DW	1
IR	Empty	--	--	--	--	CM_v_DW	DW	1
IR	Empty	--	--	--	--	CM_v_DW	DW	1
IR	Empty	--	--	--	--	CM_v_DW	DW	1
IR	Empty	--	--	--	--	CM_v_DW	DW	1
QB	Joe Burrow	Cin	QB	17.5	19.25	SH_v_JK	SH	1
RB	Joe Mixon	Cin	RB	15.3	6.1	SH_v_JK	SH	1
RB	Phillip Lindsay	Den	RB	10.0	4.5	SH_v_JK	SH	1
WR	JuJu Smith-Schuster	Pit	WR	14.6	24.9	SH_v_JK	SH	1
WR	Jarvis Landry	Cle	WR	13.6	11.1	SH_v_JK	SH	1
TE	Rob Gronkowski	TB	TE	9.6	3.1	SH_v_JK	SH	1
FLEX	DJ Chark Jr.	Jax	WR	13.3	11.5	SH_v_JK	SH	1
D/ST	Bears	Chi	D/ST	7.0	0.0	SH_v_JK	SH	1
Bench	Miles Sanders	Phi	RB	0.0	0.0	SH_v_JK	SH	1
Bench	Courtland Sutton	Den	WR	0.0	0.0	SH_v_JK	SH	1
Bench	D'Andre Swift	Det	RB	7.6	11.3	SH_v_JK	SH	1
Bench	Tony Pollard	Dal	RB	5.0	5.2	SH_v_JK	SH	1
Bench	Golden Tate	FA	WR	0.0	0.0	SH_v_JK	SH	1
Bench	Chase Edmonds	Ari	RB	3.6	13.5	SH_v_JK	SH	1
Bench	Justin Jackson	LAC	RB	5.9	0.4	SH_v_JK	SH	1
IR	Empty	--	--	--	--	SH_v_JK	SH	1
IR	Empty	--	--	--	--	SH_v_JK	SH	1
IR	Empty	--	--	--	--	SH_v_JK	SH	1
IR	Empty	--	--	--	--	SH_v_JK	SH	1
QB	Drew Brees	NO	QB	20.9	16.0	SH_v_JK	JK	1
RB	Aaron Jones	GB	RB	15.3	17.6	SH_v_JK	JK	1
RB	Josh Jacobs	LV	RB	18.2	35.9	SH_v_JK	JK	1
WR	Cooper Kupp	LAR	WR	14.1	8.0	SH_v_JK	JK	1
WR	Allen Robinson II	Chi	WR	14.9	12.3	SH_v_JK	JK	1
TE	Darren Waller	LV	TE	13.2	10.5	SH_v_JK	JK	1
FLEX	Boston Scott	Phi	RB	14.0	7.4	SH_v_JK	JK	1
D/ST	Patriots	NE	D/ST	8.2	12.0	SH_v_JK	JK	1
Bench	Keenan Allen	LAC	WR	13.8	7.7	SH_v_JK	JK	1
Bench	Marvin Jones Jr.	Det	WR	13.5	9.5	SH_v_JK	JK	1
Bench	James White	NE	RB	10.9	8.2	SH_v_JK	JK	1
Bench	Matt Breida	Mia	RB	8.2	2.2	SH_v_JK	JK	1
Bench	Anthony Miller	Chi	WR	8.7	17.6	SH_v_JK	JK	1
Bench	Baker Mayfield	Cle	QB	18.0	12.75	SH_v_JK	JK	1
Bench	Greg Olsen	Sea	TE	5.4	12.4	SH_v_JK	JK	1
IR	Empty	--	--	--	--	SH_v_JK	JK	1
IR	Empty	--	--	--	--	SH_v_JK	JK	1
IR	Empty	--	--	--	--	SH_v_JK	JK	1
IR	Empty	--	--	--	--	SH_v_JK	JK	1
QB	Ben Roethlisberger	Pit	QB	19.2	22.35	JR_v_TN	JR	2
RB	Saquon Barkley	NYG	RB	20.3	2.8	JR_v_TN	JR	2
RB	Devin Singletary	Buf	RB	11.3	9.6	JR_v_TN	JR	2
WR	DJ Moore	Car	WR	13.6	20.0	JR_v_TN	JR	2
WR	Calvin Ridley	Atl	WR	14.5	29.9	JR_v_TN	JR	2
TE	Dallas Goedert	Phi	TE	9.8	7.0	JR_v_TN	JR	2
FLEX	T.Y. Hilton	Ind	WR	13.0	5.8	JR_v_TN	JR	2
D/ST	Colts	Ind	D/ST	6.9	17.0	JR_v_TN	JR	2
Bench	Diontae Johnson	Pit	WR	12.1	23.2	JR_v_TN	JR	2
Bench	Kerryon Johnson	Det	RB	6.1	9.2	JR_v_TN	JR	2
Bench	Henry Ruggs III	LV	WR	11.1	1.4	JR_v_TN	JR	2
Bench	Mike Gesicki	Mia	TE	8.2	27.0	JR_v_TN	JR	2
Bench	Duke Johnson	FA	RB	0.0	0.0	JR_v_TN	JR	2
Bench	Jerry Jeudy	Den	WR	9.7	10.2	JR_v_TN	JR	2
Bench	Tyler Eifert	Jax	TE	6.1	12.6	JR_v_TN	JR	2
IR	Empty	--	--	--	--	JR_v_TN	JR	2
IR	Empty	--	--	--	--	JR_v_TN	JR	2
IR	Empty	--	--	--	--	JR_v_TN	JR	2
IR	Empty	--	--	--	--	JR_v_TN	JR	2
QB	Patrick Mahomes	KC	QB	23.9	30.5	JR_v_TN	TN	2
RB	Derrick Henry	Ten	RB	21.1	8.4	JR_v_TN	TN	2
RB	Kareem Hunt	Cle	RB	13.6	24.1	JR_v_TN	TN	2
WR	Davante Adams	GB	WR	19.2	6.6	JR_v_TN	TN	2
WR	DK Metcalf	Sea	WR	11.6	19.2	JR_v_TN	TN	2
TE	Hunter Henry	LAC	TE	10.8	14.3	JR_v_TN	TN	2
FLEX	Mike Evans	TB	WR	17.4	23.4	JR_v_TN	TN	2
D/ST	49ers	SF	D/ST	9.4	6.0	JR_v_TN	TN	2
Bench	Tarik Cohen	Chi	RB	11.1	3.7	JR_v_TN	TN	2
Bench	Brandin Cooks	Hou	WR	10.1	14.5	JR_v_TN	TN	2
Bench	Chris Thompson	Jax	RB	7.8	11.7	JR_v_TN	TN	2
Bench	Eric Ebron	Pit	TE	7.2	7.3	JR_v_TN	TN	2
Bench	Chase Claypool	Pit	WR	4.5	17.8	JR_v_TN	TN	2
Bench	Sony Michel	NE	RB	6.2	1.9	JR_v_TN	TN	2
Bench	Brandon Aiyuk	SF	WR	7.5	4.1	JR_v_TN	TN	2
IR	Empty	--	--	--	--	JR_v_TN	TN	2
IR	Empty	--	--	--	--	JR_v_TN	TN	2
IR	Empty	--	--	--	--	JR_v_TN	TN	2
IR	Empty	--	--	--	--	JR_v_TN	TN	2
QB	Aaron Rodgers	GB	QB	21.2	21.6	EM_v_MR	EM	2
RB	Clyde Edwards-Helaire	KC	RB	16.5	13.0	EM_v_MR	EM	2
RB	Jamaal Williams	GB	RB	7.7	8.3	EM_v_MR	EM	2
WR	Will Fuller V	Hou	WR	13.2	0.0	EM_v_MR	EM	2
WR	Stefon Diggs	Buf	WR	12.8	29.3	EM_v_MR	EM	2
TE	Mark Andrews	Bal	TE	14.0	3.9	EM_v_MR	EM	2
FLEX	Jared Cook	FA	TE	10.4	9.3	EM_v_MR	EM	2
D/ST	Ravens	Bal	D/ST	7.4	16.0	EM_v_MR	EM	2
Bench	Chris Godwin	TB	WR	0.0	0.0	EM_v_MR	EM	2
Bench	A.J. Green	Cin	WR	13.9	5.9	EM_v_MR	EM	2
Bench	Leonard Fournette	TB	RB	8.1	27.6	EM_v_MR	EM	2
Bench	Matthew Stafford	LAR	QB	21.3	19.6	EM_v_MR	EM	2
Bench	Darrell Henderson Jr.	LAR	RB	1.6	20.1	EM_v_MR	EM	2
Bench	Larry Fitzgerald	Ari	WR	10.5	12.0	EM_v_MR	EM	2
Bench	Curtis Samuel	Car	WR	10.6	5.9	EM_v_MR	EM	2
IR	Empty	--	--	--	--	EM_v_MR	EM	2
IR	Empty	--	--	--	--	EM_v_MR	EM	2
IR	Empty	--	--	--	--	EM_v_MR	EM	2
IR	Empty	--	--	--	--	EM_v_MR	EM	2
QB	Matt Ryan	Atl	QB	22.2	31.25	EM_v_MR	MR	2
RB	Nick Chubb	Cle	RB	13.9	26.3	EM_v_MR	MR	2
RB	Jonathan Taylor	Ind	RB	15.5	19.0	EM_v_MR	MR	2
WR	Julio Jones	Atl	WR	18.0	4.4	EM_v_MR	MR	2
WR	Julian Edelman	NE	WR	12.8	25.9	EM_v_MR	MR	2
TE	Noah Fant	Den	TE	8.9	17.7	EM_v_MR	MR	2
FLEX	Corey Davis	Ten	WR	10.8	12.6	EM_v_MR	MR	2
D/ST	Rams	LAR	D/ST	5.5	6.0	EM_v_MR	MR	2
Bench	Tyler Boyd	Cin	WR	11.8	20.2	EM_v_MR	MR	2
Bench	Christian Kirk	Ari	WR	10.6	8.0	EM_v_MR	MR	2
Bench	John Brown	Buf	WR	10.8	18.2	EM_v_MR	MR	2
Bench	Jonnu Smith	Ten	TE	8.9	24.4	EM_v_MR	MR	2
Bench	Jared Goff	Det	QB	19.4	26.65	EM_v_MR	MR	2
Bench	Malcolm Brown	LAR	RB	11.0	4.7	EM_v_MR	MR	2
Bench	Frank Gore	NYJ	RB	7.8	6.3	EM_v_MR	MR	2
IR	Le'Veon Bell	KC	RB	0.0	0.0	EM_v_MR	MR	2
IR	Empty	--	--	--	--	EM_v_MR	MR	2
IR	Empty	--	--	--	--	EM_v_MR	MR	2
IR	Empty	--	--	--	--	EM_v_MR	MR	2
QB	Cam Newton	NE	QB	20.8	39.55	MF_v_CM	MF	2
RB	Austin Ekeler	LAC	RB	15.7	18.8	MF_v_CM	MF	2
RB	Raheem Mostert	SF	RB	14.6	18.7	MF_v_CM	MF	2
WR	DeAndre Hopkins	Ari	WR	16.8	20.8	MF_v_CM	MF	2
WR	Tyler Lockett	Sea	WR	13.7	19.7	MF_v_CM	MF	2
TE	T.J. Hockenson	Det	TE	8.8	10.2	MF_v_CM	MF	2
FLEX	Emmanuel Sanders	NO	WR	12.8	2.8	MF_v_CM	MF	2
D/ST	Saints	NO	D/ST	7.8	3.0	MF_v_CM	MF	2
Bench	Tyler Higbee	LAR	TE	9.6	28.4	MF_v_CM	MF	2
Bench	J.K. Dobbins	Bal	RB	7.5	7.1	MF_v_CM	MF	2
Bench	Tom Brady	TB	QB	24.0	11.85	MF_v_CM	MF	2
Bench	Jamison Crowder	NYJ	WR	0.0	0.0	MF_v_CM	MF	2
Bench	Darius Slayton	NYG	WR	11.2	6.3	MF_v_CM	MF	2
Bench	Parris Campbell	Ind	WR	11.2	0.7	MF_v_CM	MF	2
Bench	James Washington	Pit	WR	6.5	5.2	MF_v_CM	MF	2
IR	Empty	--	--	--	--	MF_v_CM	MF	2
IR	Empty	--	--	--	--	MF_v_CM	MF	2
IR	Empty	--	--	--	--	MF_v_CM	MF	2
IR	Empty	--	--	--	--	MF_v_CM	MF	2
QB	Russell Wilson	Sea	QB	21.3	37.3	MF_v_CM	CM	2
RB	Kenyan Drake	Ari	RB	16.3	11.5	MF_v_CM	CM	2
RB	David Johnson	Hou	RB	16.3	7.0	MF_v_CM	CM	2
WR	Amari Cooper	Dal	WR	15.6	16.0	MF_v_CM	CM	2
WR	Mike Williams	LAC	WR	10.3	3.4	MF_v_CM	CM	2
TE	Zach Ertz	Phi	TE	12.1	9.2	MF_v_CM	CM	2
FLEX	Robby Anderson	Car	WR	11.6	17.9	MF_v_CM	CM	2
D/ST	Buccaneers	TB	D/ST	8.2	13.0	MF_v_CM	CM	2
Bench	Michael Thomas	NO	WR	0.0	0.0	MF_v_CM	CM	2
Bench	David Montgomery	Chi	RB	11.9	21.7	MF_v_CM	CM	2
Bench	Ronald Jones II	TB	RB	13.0	10.7	MF_v_CM	CM	2
Bench	DeSean Jackson	FA	WR	10.0	12.4	MF_v_CM	CM	2
Bench	Zack Moss	Buf	RB	9.1	3.7	MF_v_CM	CM	2
Bench	Carson Wentz	Ind	QB	20.8	16.8	MF_v_CM	CM	2
Bench	Scotty Miller	TB	WR	10.9	3.2	MF_v_CM	CM	2
IR	Empty	--	--	--	--	MF_v_CM	CM	2
IR	Empty	--	--	--	--	MF_v_CM	CM	2
IR	Empty	--	--	--	--	MF_v_CM	CM	2
IR	Empty	--	--	--	--	MF_v_CM	CM	2
QB	Joe Burrow	Cin	QB	19.5	27.7	SH_v_ZW	SH	2
RB	Miles Sanders	Phi	RB	15.5	20.1	SH_v_ZW	SH	2
RB	Joe Mixon	Cin	RB	14.9	12.6	SH_v_ZW	SH	2
WR	JuJu Smith-Schuster	Pit	WR	13.7	11.8	SH_v_ZW	SH	2
WR	DJ Chark Jr.	Jax	WR	12.9	12.4	SH_v_ZW	SH	2
TE	Rob Gronkowski	TB	TE	8.8	0.0	SH_v_ZW	SH	2
FLEX	D'Andre Swift	Det	RB	9.2	12.2	SH_v_ZW	SH	2
D/ST	Bears	Chi	D/ST	9.1	14.0	SH_v_ZW	SH	2
Bench	Courtland Sutton	Den	WR	12.2	9.6	SH_v_ZW	SH	2
Bench	Jarvis Landry	Cle	WR	12.8	7.6	SH_v_ZW	SH	2
Bench	Phillip Lindsay	Den	RB	0.0	0.0	SH_v_ZW	SH	2
Bench	Tony Pollard	Dal	RB	5.9	1.9	SH_v_ZW	SH	2
Bench	Golden Tate	FA	WR	9.1	9.7	SH_v_ZW	SH	2
Bench	Chase Edmonds	Ari	RB	6.1	4.3	SH_v_ZW	SH	2
Bench	Justin Jackson	LAC	RB	0.0	0.0	SH_v_ZW	SH	2
IR	Empty	--	--	--	--	SH_v_ZW	SH	2
IR	Empty	--	--	--	--	SH_v_ZW	SH	2
IR	Empty	--	--	--	--	SH_v_ZW	SH	2
IR	Empty	--	--	--	--	SH_v_ZW	SH	2
QB	Dak Prescott	Dal	QB	23.9	44.3	SH_v_ZW	ZW	2
RB	James Robinson	Jax	RB	10.6	21.0	SH_v_ZW	ZW	2
RB	James Conner	Pit	RB	13.8	20.1	SH_v_ZW	ZW	2
WR	Tyreek Hill	KC	WR	15.5	21.8	SH_v_ZW	ZW	2
WR	Allen Lazard	GB	WR	9.8	7.5	SH_v_ZW	ZW	2
TE	Travis Kelce	KC	TE	15.6	24.0	SH_v_ZW	ZW	2
FLEX	Mark Ingram II	FA	RB	9.7	15.7	SH_v_ZW	ZW	2
