SLOT	Player_name	Player_team	Player_position	Player_projection	Player_score	Matchup	Owner	Week
QB	Kyler Murray	Ari	QB	21.3	29.6	BG_v_JR	BG	1
RB	Alvin Kamara	NO	RB	19.6	23.7	BG_v_JR	BG	1
RB	Melvin Gordon III	Den	RB	12.4	15.6	BG_v_JR	BG	1
WR	Adam Thielen	Min	WR	15.7	31.0	BG_v_JR	BG	1
WR	Odell Beckham Jr.	Cle	WR	14.0	5.2	BG_v_JR	BG	1
TE	George Kittle	SF	TE	16.0	9.3	BG_v_JR	BG	1
FLEX	DeVante Parker	Mia	WR	12.4	8.7	BG_v_JR	BG	1
D/ST	Bills	Buf	D/ST	9.6	11.0	BG_v_JR	BG	1
Bench	Evan Engram	NYG	TE	11.7	2.9	BG_v_JR	BG	1
Bench	Mecole Hardman	KC	WR	7.2	1.6	BG_v_JR	BG	1
Bench	Jordan Howard	Phi	RB	8.8	6.7	BG_v_JR	BG	1
Bench	N'Keal Harry	NE	WR	9.0	6.9	BG_v_JR	BG	1
Bench	Nyheim Hines	Ind	RB	9.1	27.3	BG_v_JR	BG	1
Bench	Sammy Watkins	KC	WR	9.3	21.5	BG_v_JR	BG	1
Bench	Breshad Perriman	NYJ	WR	8.4	4.7	BG_v_JR	BG	1
IR	Empty	--	--	--	--	BG_v_JR	BG	1
IR	Empty	--	--	--	--	BG_v_JR	BG	1
IR	Empty	--	--	--	--	BG_v_JR	BG	1
IR	Empty	--	--	--	--	BG_v_JR	BG	1
QB	Ben Roethlisberger	Pit	QB	21.9	24.35	BG_v_JR	JR	1
RB	Saquon Barkley	NYG	RB	19.2	12.6	BG_v_JR	JR	1
RB	Devin Singletary	Buf	RB	11.3	10.3	BG_v_JR	JR	1
WR	DJ Moore	Car	WR	15.0	9.4	BG_v_JR	JR	1
WR	T.Y. Hilton	Ind	WR	14.5	9.3	BG_v_JR	JR	1
TE	Mike Gesicki	Mia	TE	9.0	6.0	BG_v_JR	JR	1
FLEX	Calvin Ridley	Atl	WR	13.6	33.9	BG_v_JR	JR	1
D/ST	Colts	Ind	D/ST	7.9	6.0	BG_v_JR	JR	1
Bench	Diontae Johnson	Pit	WR	11.7	9.7	BG_v_JR	JR	1
Bench	Kerryon Johnson	Det	RB	9.9	1.4	BG_v_JR	JR	1
Bench	Henry Ruggs III	LV	WR	9.5	9.6	BG_v_JR	JR	1
Bench	Duke Johnson	FA	RB	9.0	1.4	BG_v_JR	JR	1
Bench	Jerry Jeudy	Den	WR	10.6	9.6	BG_v_JR	JR	1
Bench	Tyler Eifert	Jax	TE	7.1	1.8	BG_v_JR	JR	1
Bench	Taysom Hill	NO	QB	4.5	5.6	BG_v_JR	JR	1
IR	Empty	--	--	--	--	BG_v_JR	JR	1
IR	Empty	--	--	--	--	BG_v_JR	JR	1
IR	Empty	--	--	--	--	BG_v_JR	JR	1
IR	Empty	--	--	--	--	BG_v_JR	JR	1
QB	Patrick Mahomes	KC	QB	26.8	22.55	TN_v_MR	TN	1
RB	Derrick Henry	Ten	RB	17.3	16.1	TN_v_MR	TN	1
RB	Kareem Hunt	Cle	RB	10.2	12.1	TN_v_MR	TN	1
WR	Davante Adams	GB	WR	18.5	41.6	TN_v_MR	TN	1
WR	DK Metcalf	Sea	WR	13.1	19.5	TN_v_MR	TN	1
TE	Eric Ebron	Pit	TE	7.7	2.8	TN_v_MR	TN	1
FLEX	Tarik Cohen	Chi	RB	10.9	6.7	TN_v_MR	TN	1
D/ST	49ers	SF	D/ST	8.5	3.0	TN_v_MR	TN	1
Bench	Mike Evans	TB	WR	12.5	7.2	TN_v_MR	TN	1
Bench	Brandin Cooks	Hou	WR	8.8	4.0	TN_v_MR	TN	1
Bench	Chris Thompson	Jax	RB	9.2	2.6	TN_v_MR	TN	1
Bench	Chase Claypool	Pit	WR	6.2	6.7	TN_v_MR	TN	1
Bench	Hunter Henry	LAC	TE	9.9	12.3	TN_v_MR	TN	1
Bench	Sony Michel	NE	RB	7.8	9.7	TN_v_MR	TN	1
Bench	Brandon Aiyuk	SF	WR	8.9	0.0	TN_v_MR	TN	1
IR	Empty	--	--	--	--	TN_v_MR	TN	1
IR	Empty	--	--	--	--	TN_v_MR	TN	1
IR	Empty	--	--	--	--	TN_v_MR	TN	1
IR	Empty	--	--	--	--	TN_v_MR	TN	1
QB	Matt Ryan	Atl	QB	22.1	29.4	TN_v_MR	MR	1
RB	Nick Chubb	Cle	RB	14.6	5.6	TN_v_MR	MR	1
RB	Le'Veon Bell	KC	RB	13.7	6.6	TN_v_MR	MR	1
WR	Julio Jones	Atl	WR	16.4	24.7	TN_v_MR	MR	1
WR	Julian Edelman	NE	WR	13.1	13.0	TN_v_MR	MR	1
TE	Noah Fant	Den	TE	9.9	19.1	TN_v_MR	MR	1
FLEX	Jonathan Taylor	Ind	RB	10.7	14.9	TN_v_MR	MR	1
D/ST	Vikings	Min	D/ST	7.4	-8.0	TN_v_MR	MR	1
Bench	Tyler Boyd	Cin	WR	11.7	7.3	TN_v_MR	MR	1
Bench	Marlon Mack	Ind	RB	10.8	8.6	TN_v_MR	MR	1
Bench	Christian Kirk	Ari	WR	10.8	1.0	TN_v_MR	MR	1
Bench	John Brown	Buf	WR	11.1	19.0	TN_v_MR	MR	1
Bench	Jonnu Smith	Ten	TE	7.0	13.6	TN_v_MR	MR	1
Bench	Jared Goff	Det	QB	19.1	14.25	TN_v_MR	MR	1
Bench	Malcolm Brown	LAR	RB	5.8	26.0	TN_v_MR	MR	1
IR	Empty	--	--	--	--	TN_v_MR	MR	1
IR	Empty	--	--	--	--	TN_v_MR	MR	1
IR	Empty	--	--	--	--	TN_v_MR	MR	1
IR	Empty	--	--	--	--	TN_v_MR	MR	1
QB	Dak Prescott	Dal	QB	23.2	20.3	ZW_v_MF	ZW	1
RB	Dalvin Cook	Min	RB	21.1	21.8	ZW_v_MF	ZW	1
RB	Cam Akers	LAR	RB	10.0	5.3	ZW_v_MF	ZW	1
WR	Robert Woods	LAR	WR	14.5	17.9	ZW_v_MF	ZW	1
WR	CeeDee Lamb	Dal	WR	10.0	10.9	ZW_v_MF	ZW	1
TE	Travis Kelce	KC	TE	17.0	17.0	ZW_v_MF	ZW	1
FLEX	Mark Ingram II	FA	RB	10.8	2.9	ZW_v_MF	ZW	1
D/ST	Titans	Ten	D/ST	7.2	5.0	ZW_v_MF	ZW	1
Bench	Kenny Golladay	Det	WR	0.0	0.0	ZW_v_MF	ZW	1
Bench	Alexander Mattison	Min	RB	4.9	12.0	ZW_v_MF	ZW	1
Bench	Allen Lazard	GB	WR	8.2	18.2	ZW_v_MF	ZW	1
Bench	Gardner Minshew II	Jax	QB	18.7	22.55	ZW_v_MF	ZW	1
Bench	Adrian Peterson	Det	RB	5.2	14.4	ZW_v_MF	ZW	1
