Name,Position_x,Projection,Team_x,Position_y,Salary,Team_y,Kickoff
DeeJay Dallas,RB,0.0,ARI,RB,4100.0,ARI,Sun 4:05PM
Jaret Patterson,RB,0.0,LAC,RB,4000.0,LAC,Sun 8:20PM
Roschon Johnson,RB,0.0,CHI,RB,5300.0,CHI,Sun 4:25PM
Ke'Shawn Vaughn,RB,0.0,SF,RB,4000.0,SF,Sun 4:25PM
Avery Williams,RB,0.0,ATL,RB,4100.0,ATL,Sun 1:00PM
Justin Jefferson,WR,18.2,MIN,WR,9200.0,MIN,Sun 1:00PM
Puka Nacua,WR,17.8,LAR,WR,8600.0,LAR,Sun 4:25PM
A.J. Brown,WR,17.2,PHI,WR,9300.0,PHI,Sun 1:00PM
Mike Evans,WR,16.2,TB,WR,8400.0,TB,Sun 1:00PM
Cooper Kupp,WR,16.1,LAR,WR,8500.0,LAR,Sun 4:25PM
Drake London,WR,15.8,ATL,WR,7900.0,ATL,Sun 1:00PM
Jaxon Smith-Njigba,WR,15.2,SEA,WR,8000.0,SEA,Sun 4:05PM
Jakobi Meyers,WR,14.9,LV,WR,6700.0,LV,Sun 1:00PM
Davante Adams,WR,14.8,NYJ,WR,7300.0,NYJ,Sun 1:00PM
Tyreek Hill,WR,14.8,MIA,WR,8200.0,MIA,Sun 1:00PM
Calvin Ridley,WR,14.8,TEN,WR,6300.0,TEN,Sun 1:00PM
Malik Nabers,WR,14.6,NYG,WR,8300.0,NYG,Sun 1:00PM
Ladd McConkey,WR,14.4,LAC,WR,7000.0,LAC,Sun 8:20PM
DK Metcalf,WR,14.3,SEA,WR,7600.0,SEA,Sun 4:05PM
Jerry Jeudy,WR,13.5,CLE,WR,6100.0,CLE,Sun 1:00PM
Garrett Wilson,WR,13.4,NYJ,WR,7200.0,NYJ,Sun 1:00PM
Brian Thomas Jr.,WR,13.3,JAC,WR,6900.0,JAC,Sun 1:00PM
Marvin Harrison Jr.,WR,13.3,ARI,WR,6800.0,ARI,Sun 4:05PM
DJ Moore,WR,12.8,CHI,WR,6600.0,CHI,Sun 4:25PM
Jauan Jennings,WR,13.1,SF,WR,6400.0,SF,Sun 4:25PM
Khalil Shakir,WR,12.4,BUF,WR,6500.0,BUF,Sun 4:25PM
Keenan Allen,WR,12.4,CHI,WR,6400.0,CHI,Sun 4:25PM
Darnell Mooney,WR,12.2,ATL,WR,5900.0,ATL,Sun 1:00PM
DeVonta Smith,WR,11.8,PHI,WR,7400.0,PHI,Sun 1:00PM
Deebo Samuel Sr.,WR,11.9,SF,WR,7100.0,SF,Sun 4:25PM
Jordan Addison,WR,11.8,MIN,WR,6000.0,MIN,Sun 1:00PM
DeAndre Hopkins,WR,11.6,KC,WR,6100.0,KC,Sun 8:20PM
Jaylen Waddle,WR,11.5,MIA,WR,5900.0,MIA,Sun 1:00PM
Elijah Moore,WR,11.0,CLE,WR,5600.0,CLE,Sun 1:00PM
Adam Thielen,WR,10.8,CAR,WR,5900.0,CAR,Sun 1:00PM
Amari Cooper,WR,10.5,BUF,WR,5700.0,BUF,Sun 4:25PM
Nick Westbrook-Ikhine,WR,10.5,TEN,WR,6200.0,TEN,Sun 1:00PM
Rome Odunze,WR,10.2,CHI,WR,5600.0,CHI,Sun 4:25PM
Xavier Legette,WR,10.2,CAR,WR,5500.0,CAR,Sun 1:00PM
Marquez Valdes-Scantling,WR,9.9,NO,WR,5800.0,NO,Sun 1:00PM
Xavier Worthy,WR,10.2,KC,WR,6000.0,KC,Sun 8:20PM
Wan'Dale Robinson,WR,9.7,NYG,WR,5400.0,NYG,Sun 1:00PM
Quentin Johnston,WR,9.0,LAC,WR,5700.0,LAC,Sun 8:20PM
Parker Washington,WR,9.0,JAC,WR,5800.0,JAC,Sun 1:00PM
Tre Tucker,WR,8.7,LV,WR,5300.0,LV,Sun 1:00PM
Michael Wilson,WR,8.7,ARI,WR,5300.0,ARI,Sun 4:05PM
Ray-Ray McCloud III,WR,8.7,ATL,WR,5500.0,ATL,Sun 1:00PM
Joshua Palmer,WR,8.4,LAC,WR,5400.0,LAC,Sun 8:20PM
Tyler Lockett,WR,8.1,SEA,WR,5600.0,SEA,Sun 4:05PM
