Name,Position,Salary,Team
Jayden Daniels,QB,8800.00,WAS
Kedon Slovis,QB,6000.00,HOU
Easton Stick,QB,6000.00,LAC
Sam Howell,QB,6000.00,SEA
Spencer Rattler,QB,6000.00,NO
John Rhys Plumlee,QB,6000.00,SEA
Bryce Young,QB,6600.00,CAR
Anthony Richardson,QB,7800.00,IND
C.J. Stroud,QB,8000.00,HOU
Michael Pratt,QB,6000.00,TB
Andy Dalton,QB,6000.00,CAR
Tyrod Taylor,QB,6000.00,NYJ
Drake Maye,QB,6800.00,NE
J.J. McCarthy,QB,6000.00,MIN
Russell Wilson,QB,7500.00,PIT
Kirk Cousins,QB,6900.00,ATL
Case Keenum,QB,6000.00,HOU
Geno Smith,QB,7600.00,SEA
C.J. Beathard,QB,6000.00,JAC
Trevor Siemian,QB,6000.00,TEN
Marcus Mariota,QB,6000.00,WAS
Jacoby Brissett,QB,6000.00,NE
Jeff Driskel,QB,6000.00,WAS
Nathan Peterman,QB,6000.00,ATL
Baker Mayfield,QB,8500.00,TB
Nick Mullens,QB,6000.00,MIN
Logan Woodside,QB,6000.00,CIN
Derek Carr,QB,7300.00,NO
Kyle Allen,QB,6000.00,PIT
Taylor Heinicke,QB,6000.00,LAC
Mason Rudolph,QB,6000.00,TEN
Jimmy Garoppolo,QB,6000.00,LAR
Jake Browning,QB,6000.00,CIN
Brett Rypien,QB,6000.00,MIN
Lamar Jackson,QB,8700.00,BAL
Joe Burrow,QB,8300.00,CIN
Kyler Murray,QB,7700.00,ARI
Sam Darnold,QB,7200.00,MIN
Matthew Stafford,QB,7400.00,LAR
Joe Flacco,QB,6000.00,IND
Aaron Rodgers,QB,7000.00,NYJ
Justin Herbert,QB,7900.00,LAC
Kyle Trask,QB,6000.00,TB
Jalen Hurts,QB,9200.00,PHI
Anthony Brown Jr.,QB,6000.00,ARI
Josh Johnson,QB,6000.00,BAL
Will Levis,QB,6700.00,TEN
Jake Haener,QB,6000.00,NO
Sam Hartman,QB,6000.00,WAS
Michael Penix Jr.,QB,6000.00,ATL
Tanner McKee,QB,6000.00,PHI
Davis Mills,QB,6000.00,HOU
Trevor Lawrence,QB,7100.00,JAC
Jaren Hall,QB,6000.00,SEA
Mac Jones,QB,6400.00,JAC
Clayton Tune,QB,6000.00,ARI
Adrian Martinez,QB,6000.00,NYJ
Joe Milton III,QB,6000.00,NE
Stetson Bennett,QB,6000.00,LAR
Justin Fields,QB,6000.00,PIT
Kenny Pickett,QB,6000.00,PHI
Jason Bean,QB,6000.00,IND
Sam Ehlinger,QB,6000.00,IND
Malik Cunningham,QB,6000.00,BAL
Jack Plummer,QB,6000.00,CAR
Devin Leary,QB,6000.00,BAL
Kevin Harris,RB,4000.00,NE
Tyrion Davis-Price,RB,4000.00,PHI
D.J. Williams,RB,4000.00,TB
Breece Hall,RB,8700.00,NYJ
Jawhar Jordan,RB,4000.00,HOU
Kenneth Walker III,RB,8000.00,SEA
Zach Charbonnet,RB,5400.00,SEA
Kyren Williams,RB,8400.00,LAR
Tyler Goodson,RB,4700.00,IND
Tyjae Spears,RB,5500.00,TEN
Kenny McIntosh,RB,4000.00,SEA
Keilan Robinson,RB,4000.00,JAC
Evan Hull,RB,4000.00,IND
Rhamondre Stevenson,RB,6400.00,NE
Jaylen Warren,RB,5800.00,PIT
Michael Wiley,RB,4000.00,WAS
Terrell Jennings,RB,4000.00,NE
Jase McClellan,RB,4000.00,ATL
Kendall Milton,RB,4000.00,CIN
Kendre Miller,RB,4000.00,NO
Kimani Vidal,RB,4300.00,LAC
Tank Bigsby,RB,6300.00,JAC
Israel Abanikanda,RB,4000.00,NYJ
Keaton Mitchell,RB,4400.00,BAL
Bijan Robinson,RB,8500.00,ATL
Sean Tucker,RB,5000.00,TB
Rasheen Ali,RB,4000.00,BAL
Rachaad White,RB,6500.00,TB
Blake Corum,RB,4800.00,LAR
Dillon Johnson,RB,4000.00,CAR
Jabari Small,RB,4000.00,TEN
Trey Benson,RB,5200.00,ARI
Nick Bellore,RB,4000.00,WAS
Will Shipley,RB,4400.00,PHI
Bucky Irving,RB,7200.00,TB
Braelon Allen,RB,5300.00,NYJ
Jonathon Brooks,RB,5300.00,CAR
Isaiah Davis,RB,4200.00,NYJ
Cody Schrader,RB,4000.00,LAR
Julius Chestnut,RB,4300.00,TEN
Aaron Shampklin,RB,4000.00,PIT
Carlos Washington Jr.,RB,4000.00,ATL
Louis Rees-Zammit,RB,4000.00,JAC
Dare Ogunbowale,RB,4900.00,HOU
Cordarrelle Patterson,RB,4200.00,PIT
Derrick Henry,RB,9000.00,BAL
Gus Edwards,RB,5900.00,LAC
Aaron Jones,RB,7700.00,MIN
James Conner,RB,7600.00,ARI
Alvin Kamara,RB,8300.00,NO
Jamaal Williams,RB,4500.00,NO
Joe Mixon,RB,9500.00,HOU
Jeremy McNichols,RB,6700.00,WAS
D'Ernest Johnson,RB,5100.00,JAC
Mike Boone,RB,4000.00,CAR
Myles Gaskin,RB,4000.00,MIN
Tony Pollard,RB,7000.00,TEN
Saquon Barkley,RB,9200.00,PHI
Adam Prentice,RB,4000.00,NO
JaMycal Hasty,RB,4300.00,NE
Jonathan Ward,RB,4000.00,PIT
Trayveon Williams,RB,4200.00,CIN
Zack Moss,RB,4000.00,CIN
C.J. Ham,RB,4100.00,MIN
Brittain Brown,RB,4000.00,SEA
Justice Hill,RB,5600.00,BAL
Miles Sanders,RB,4000.00,CAR
J.J. Taylor,RB,4100.00,HOU
Khalil Herbert,RB,4800.00,CIN
Avery Williams,RB,4000.00,ATL
Chris Evans,RB,4000.00,CIN
Kene Nwangwu,RB,4000.00,NYJ
Austin Ekeler,RB,6000.00,WAS
Patrick Ricard,RB,4200.00,BAL
Chase Edmonds,RB,4000.00,TB
Dameon Pierce,RB,5100.00,HOU
Xazavian Valladay,RB,4000.00,NO
Trey Sermon,RB,4700.00,IND
Salvon Ahmed,RB,4000.00,IND
Ty Chandler,RB,4600.00,MIN
Chuba Hubbard,RB,7400.00,CAR
J.K. Dobbins,RB,7500.00,LAC
Gary Brightwell,RB,4000.00,CIN
Jaret Patterson,RB,4000.00,LAC
Cam Akers,RB,5500.00,MIN
Chase Brown,RB,7300.00,CIN
Jonathan Taylor,RB,7900.00,IND
Travis Etienne Jr.,RB,6600.00,JAC
Tyler Allgeier,RB,5700.00,ATL
Troy Hairston II,RB,4000.00,HOU
Brian Robinson Jr.,RB,7100.00,WAS
Najee Harris,RB,6900.00,PIT
Kenneth Gainwell,RB,5400.00,PHI
Antonio Gibson,RB,5000.00,NE
Hassan Haskins,RB,4800.00,LAC
Joshua Kelley,RB,4000.00,TEN
Ronnie Rivers,RB,4600.00,LAR
Jordan Mims,RB,4900.00,NO
Raheem Blackshear,RB,4200.00,CAR
Michael Carter,RB,4000.00,ARI
British Brooks,RB,4000.00,HOU
DeeJay Dallas,RB,4100.00,ARI
Robert Burns,RB,4000.00,ATL
Emari Demercado,RB,4900.00,ARI
Jacob Kibodi,RB,4000.00,NO
Owen Wright,RB,4000.00,BAL
John Metchie III,WR,5000.00,HOU
Anthony Gould,WR,4000.00,IND
Trey Palmer,WR,5100.00,TB
Puka Nacua,WR,8700.00,LAR
Jordan Whittington,WR,4500.00,LAR
Luke McCaffrey,WR,4700.00,WAS
Garrett Wilson,WR,8000.00,NYJ
Ashton Dulin,WR,4100.00,IND
Deonte Harty,WR,4000.00,BAL
Malik Taylor,WR,4000.00,NYJ
Jha'Quan Jackson,WR,4000.00,TEN
George Pickens,WR,7400.00,PIT
Treylon Burks,WR,4200.00,TEN
Dayton Wade,WR,4000.00,BAL
DeMario Douglas,WR,5600.00,NE
Casey Washington,WR,4000.00,ATL
