Name,Position,Salary,Team
Jake Haener,QB,4100.00,NO
Davis Mills,QB,4600.00,HOU
Stetson Bennett,QB,4000.00,LAR
Jack Plummer,QB,4000.00,CAR
Michael Penix Jr.,QB,4000.00,ATL
Adrian Martinez,QB,4000.00,NYJ
Clayton Tune,QB,4000.00,ARI
Sam Hartman,QB,4000.00,WAS
Justin Fields,QB,5200.00,PIT
Trevor Lawrence,QB,5400.00,JAC
Joe Milton III,QB,4000.00,NE
Will Levis,QB,5000.00,TEN
Jason Bean,QB,4000.00,IND
Jordan Travis,QB,4000.00,NYJ
Devin Leary,QB,4000.00,BAL
Tanner McKee,QB,4000.00,PHI
Jaren Hall,QB,4000.00,SEA
Jayden Daniels,QB,7200.00,WAS
Kedon Slovis,QB,4000.00,HOU
Sam Howell,QB,4100.00,SEA
Spencer Rattler,QB,4100.00,NO
John Rhys Plumlee,QB,4000.00,SEA
Bryce Young,QB,4700.00,CAR
C.J. Stroud,QB,6400.00,HOU
Michael Pratt,QB,4000.00,TB
Anthony Richardson,QB,5500.00,IND
Drake Maye,QB,5600.00,NE
J.J. McCarthy,QB,4000.00,MIN
Aaron Rodgers,QB,5300.00,NYJ
Joe Flacco,QB,4500.00,IND
Josh Johnson,QB,4500.00,BAL
Andy Dalton,QB,4700.00,CAR
Matthew Stafford,QB,5800.00,LAR
Case Keenum,QB,4000.00,HOU
Tyrod Taylor,QB,4800.00,NYJ
Russell Wilson,QB,5700.00,PIT
Kirk Cousins,QB,6000.00,ATL
Derek Carr,QB,5100.00,NO
Geno Smith,QB,5500.00,SEA
Trevor Siemian,QB,4000.00,TEN
Jimmy Garoppolo,QB,4300.00,LAR
Jeff Driskel,QB,4000.00,WAS
Taylor Heinicke,QB,4000.00,LAC
Jacoby Brissett,QB,4600.00,NE
Marcus Mariota,QB,4000.00,WAS
Nathan Peterman,QB,4000.00,ATL
C.J. Beathard,QB,4000.00,JAC
Logan Woodside,QB,4000.00,CIN
Baker Mayfield,QB,6600.00,TB
Nick Mullens,QB,4000.00,MIN
Kyle Allen,QB,4000.00,PIT
Mason Rudolph,QB,5000.00,TEN
Easton Stick,QB,4000.00,LAC
Jake Browning,QB,4100.00,CIN
Brett Rypien,QB,4000.00,MIN
Lamar Jackson,QB,8000.00,BAL
Joe Burrow,QB,7000.00,CIN
Kyler Murray,QB,6100.00,ARI
Sam Darnold,QB,5900.00,MIN
Kyle Trask,QB,4000.00,TB
Justin Herbert,QB,5600.00,LAC
Anthony Brown Jr.,QB,4000.00,ARI
Jalen Hurts,QB,7700.00,PHI
Mac Jones,QB,4900.00,JAC
Sam Ehlinger,QB,4000.00,IND
Kenny Pickett,QB,4000.00,PHI
Salvon Ahmed,RB,4000.00,IND
Owen Wright,RB,4000.00,BAL
Aaron Shampklin,RB,4000.00,PIT
Carlos Washington Jr.,RB,4000.00,ATL
Ty Chandler,RB,4000.00,MIN
Jacob Kibodi,RB,4000.00,NO
Chuba Hubbard,RB,6700.00,CAR
Xazavian Valladay,RB,4000.00,NO
Jonathan Taylor,RB,6900.00,IND
Zavier Scott,RB,4000.00,MIN
Raheem Blackshear,RB,4000.00,CAR
Gary Brightwell,RB,4000.00,CIN
Troy Hairston II,RB,4000.00,HOU
Antonio Gibson,RB,4900.00,NE
Jaret Patterson,RB,4000.00,LAC
Dameon Pierce,RB,4600.00,HOU
Emari Demercado,RB,4000.00,ARI
Chase Brown,RB,6200.00,CIN
Julius Chestnut,RB,4000.00,TEN
British Brooks,RB,4000.00,HOU
Hassan Haskins,RB,4000.00,LAC
Kenneth Gainwell,RB,5100.00,PHI
Tyler Allgeier,RB,5000.00,ATL
Cody Schrader,RB,4000.00,LAR
Kevin Harris,RB,4000.00,NE
Tyrion Davis-Price,RB,4000.00,PHI
D.J. Williams,RB,4000.00,TB
Breece Hall,RB,7500.00,NYJ
Jawhar Jordan,RB,4000.00,HOU
Kenneth Walker III,RB,7000.00,SEA
Zach Charbonnet,RB,4400.00,SEA
Kyren Williams,RB,7200.00,LAR
Tyler Goodson,RB,4000.00,IND
Tyjae Spears,RB,4400.00,TEN
Kenny McIntosh,RB,4000.00,SEA
Keilan Robinson,RB,4000.00,JAC
Evan Hull,RB,4000.00,IND
Rhamondre Stevenson,RB,5900.00,NE
Jaylen Warren,RB,5500.00,PIT
Michael Wiley,RB,4000.00,WAS
Terrell Jennings,RB,4000.00,NE
Jase McClellan,RB,4000.00,ATL
Kendall Milton,RB,4000.00,CIN
Kendre Miller,RB,4000.00,NO
Israel Abanikanda,RB,4000.00,NYJ
Kimani Vidal,RB,4000.00,LAC
Tank Bigsby,RB,5200.00,JAC
Keaton Mitchell,RB,4800.00,BAL
Bijan Robinson,RB,7300.00,ATL
Sean Tucker,RB,4500.00,TB
Rasheen Ali,RB,4000.00,BAL
Rachaad White,RB,5300.00,TB
Blake Corum,RB,4200.00,LAR
Dillon Johnson,RB,4000.00,CAR
Jabari Small,RB,4000.00,TEN
Trey Benson,RB,4300.00,ARI
Isaiah Davis,RB,4000.00,NYJ
Will Shipley,RB,4000.00,PHI
Bucky Irving,RB,5800.00,TB
Braelon Allen,RB,5000.00,NYJ
Jonathon Brooks,RB,4700.00,CAR
Patrick Ricard,RB,4000.00,BAL
Cordarrelle Patterson,RB,4000.00,PIT
Jamaal Williams,RB,4200.00,NO
Dare Ogunbowale,RB,4100.00,HOU
Derrick Henry,RB,7800.00,BAL
Gus Edwards,RB,4300.00,LAC
Aaron Jones,RB,6500.00,MIN
James Conner,RB,6600.00,ARI
Alvin Kamara,RB,7700.00,NO
Austin Ekeler,RB,5600.00,WAS
Joe Mixon,RB,8000.00,HOU
Chase Edmonds,RB,4000.00,TB
Jeremy McNichols,RB,5400.00,WAS
D'Ernest Johnson,RB,4000.00,JAC
Mike Boone,RB,4000.00,CAR
Myles Gaskin,RB,4000.00,MIN
Joshua Kelley,RB,4000.00,TEN
Tony Pollard,RB,6300.00,TEN
Saquon Barkley,RB,8500.00,PHI
Adam Prentice,RB,4000.00,NO
JaMycal Hasty,RB,4000.00,NE
Trayveon Williams,RB,4000.00,CIN
Jonathan Ward,RB,4000.00,PIT
Zack Moss,RB,4000.00,CIN
C.J. Ham,RB,4000.00,MIN
Brittain Brown,RB,4000.00,SEA
Justice Hill,RB,4800.00,BAL
Miles Sanders,RB,4000.00,CAR
J.J. Taylor,RB,4000.00,HOU
Khalil Herbert,RB,4000.00,CIN
Avery Williams,RB,4000.00,ATL
Chris Evans,RB,4000.00,CIN
Kene Nwangwu,RB,4000.00,NYJ
Najee Harris,RB,6000.00,PIT
Brian Robinson Jr.,RB,6100.00,WAS
Trey Sermon,RB,4000.00,IND
Cam Akers,RB,4500.00,MIN
Robert Burns,RB,4000.00,ATL
DeeJay Dallas,RB,4000.00,ARI
Michael Carter,RB,4000.00,ARI
J.K. Dobbins,RB,6800.00,LAC
Jordan Mims,RB,4000.00,NO
