Name,Position,Salary,Team
Bo Nix,QB,7400.00,DEN
Sam Howell,QB,6000.00,SEA
Spencer Rattler,QB,6000.00,NO
John Rhys Plumlee,QB,6000.00,JAC
Gavin Hardison,QB,6000.00,MIA
Anthony Richardson,QB,6400.00,IND
Bailey Zappe,QB,6000.00,CLE
Tyrod Taylor,QB,6000.00,NYJ
Caleb Williams,QB,7000.00,CHI
Drake Maye,QB,6700.00,NE
J.J. McCarthy,QB,6000.00,MIN
Austin Reed,QB,6000.00,CHI
Dresser Winn,QB,6000.00,LAR
Tyson Bagent,QB,6000.00,CHI
Peewee Jarrett,QB,6000.00,NYJ
Russell Wilson,QB,7800.00,PIT
Kirk Cousins,QB,7100.00,ATL
Jameis Winston,QB,7200.00,CLE
Geno Smith,QB,7600.00,SEA
Nate Sudfeld,QB,6000.00,DET
C.J. Beathard,QB,6000.00,JAC
Trevor Siemian,QB,6000.00,TEN
Jacoby Brissett,QB,6000.00,NE
Nathan Peterman,QB,6000.00,ATL
Brandon Allen,QB,6000.00,SF
Jared Goff,QB,8300.00,DET
Mitchell Trubisky,QB,6000.00,BUF
Joshua Dobbs,QB,6000.00,SF
Tim Boyle,QB,6000.00,MIA
Mike White,QB,6000.00,BUF
Nick Mullens,QB,6000.00,MIN
P.J. Walker,QB,6000.00,SEA
Derek Carr,QB,7200.00,NO
Kyle Allen,QB,6000.00,PIT
Mason Rudolph,QB,6000.00,TEN
Alex McGough,QB,6000.00,GB
Jimmy Garoppolo,QB,6000.00,LAR
Deshaun Watson,QB,6000.00,CLE
Patrick Mahomes II,QB,7900.00,KC
Jarrett Stidham,QB,6000.00,DEN
Brett Rypien,QB,6000.00,MIN
Gardner Minshew II,QB,6600.00,LV
Josh Allen,QB,8800.00,BUF
Lamar Jackson,QB,9000.00,BAL
Ben DiNucci,QB,6000.00,BUF
Sam Darnold,QB,7500.00,MIN
Matthew Stafford,QB,7400.00,LAR
Joe Flacco,QB,6900.00,IND
Aaron Rodgers,QB,7100.00,NYJ
Jordan Love,QB,7700.00,GB
Skylar Thompson,QB,6000.00,MIA
Jacob Eason,QB,6000.00,GB
Shane Buechele,QB,6000.00,BUF
Tyler Huntley,QB,6000.00,MIA
Carson Wentz,QB,6000.00,KC
Ian Book,QB,6000.00,KC
Chris Oladokun,QB,6000.00,KC
Josh Johnson,QB,6000.00,BAL
Brock Purdy,QB,8400.00,SF
Hendon Hooker,QB,6000.00,DET
Emory Jones,QB,6000.00,BAL
Sean Clifford,QB,6000.00,GB
Will Levis,QB,6700.00,TEN
Ben Bryant,QB,6000.00,NYJ
Desmond Ridder,QB,6600.00,LV
Tanner Mordecai,QB,6000.00,SF
Jacob Sirmon,QB,6000.00,CLE
Jake Haener,QB,6000.00,NO
Malik Willis,QB,6000.00,GB
Chevan Cordeiro,QB,6000.00,SEA
Matt Corral,QB,6000.00,MIN
Michael Penix Jr.,QB,6000.00,ATL
Carter Bradley,QB,6000.00,LV
John Paddock,QB,6000.00,ATL
Trevor Lawrence,QB,7000.00,JAC
