Name,Position,Salary,Team
Desmond Ridder,QB,4800.00,LV
Davis Mills,QB,4400.00,HOU
Tommy DeVito,QB,4000.00,NYG
Aidan O'Connell,QB,4000.00,LV
Sean Clifford,QB,4000.00,GB
Jack Plummer,QB,4000.00,CAR
Zach Wilson,QB,4000.00,DEN
Clayton Tune,QB,4000.00,ARI
Sam Hartman,QB,4000.00,WAS
Joe Milton III,QB,4000.00,NE
Will Levis,QB,4900.00,TEN
Jason Bean,QB,4000.00,IND
Brock Purdy,QB,6400.00,SF
Austin Reed,QB,4000.00,CHI
Tanner Mordecai,QB,4000.00,SF
Carter Bradley,QB,4000.00,LV
Trey Lance,QB,4500.00,DAL
Jaren Hall,QB,4000.00,SEA
Jayden Daniels,QB,7000.00,WAS
Kedon Slovis,QB,4000.00,HOU
Bo Nix,QB,6300.00,DEN
Sam Howell,QB,4200.00,SEA
Bryce Young,QB,4600.00,CAR
C.J. Stroud,QB,6500.00,HOU
Michael Pratt,QB,4000.00,TB
Anthony Richardson,QB,5600.00,IND
Caleb Williams,QB,5100.00,CHI
Drake Maye,QB,5500.00,NE
J.J. McCarthy,QB,4000.00,MIN
Tyson Bagent,QB,4100.00,CHI
Joe Flacco,QB,5300.00,IND
Andy Dalton,QB,4600.00,CAR
Case Keenum,QB,4000.00,HOU
Geno Smith,QB,5700.00,SEA
Trevor Siemian,QB,4000.00,TEN
Dak Prescott,QB,4000.00,DAL
Jeff Driskel,QB,4000.00,WAS
Brandon Allen,QB,4000.00,SF
Jacoby Brissett,QB,4400.00,NE
Marcus Mariota,QB,4500.00,WAS
Carson Wentz,QB,4300.00,KC
Cooper Rush,QB,5000.00,DAL
Jared Goff,QB,6600.00,DET
Joshua Dobbs,QB,4000.00,SF
Baker Mayfield,QB,6100.00,TB
Nick Mullens,QB,4000.00,MIN
Will Grier,QB,4000.00,DAL
Mason Rudolph,QB,4900.00,TEN
Patrick Mahomes II,QB,6800.00,KC
Jarrett Stidham,QB,4000.00,DEN
Brett Rypien,QB,4000.00,MIN
Gardner Minshew II,QB,4800.00,LV
Kyler Murray,QB,6200.00,ARI
Daniel Jones,QB,5200.00,NYG
Sam Darnold,QB,5900.00,MIN
Drew Lock,QB,4700.00,NYG
Kyle Trask,QB,4000.00,TB
Anthony Brown Jr.,QB,4000.00,ARI
Jordan Love,QB,6700.00,GB
Tyler Huntley,QB,4000.00,MIA
Skylar Thompson,QB,4000.00,MIA
Chris Oladokun,QB,4000.00,KC
Tua Tagovailoa,QB,5800.00,MIA
Jake Fromm,QB,4000.00,DET
Sam Ehlinger,QB,4000.00,IND
Malik Willis,QB,4700.00,GB
Hendon Hooker,QB,4000.00,DET
Salvon Ahmed,RB,4000.00,IND
Elijah Mitchell,RB,4000.00,SF
Ty Chandler,RB,4000.00,MIN
AJ Dillon,RB,4000.00,GB
Chuba Hubbard,RB,6600.00,CAR
Jonathan Taylor,RB,7100.00,IND
Zavier Scott,RB,4000.00,MIN
Raheem Blackshear,RB,4000.00,CAR
D'Andre Swift,RB,6100.00,CHI
Troy Hairston II,RB,4000.00,HOU
Isiah Pacheco,RB,6200.00,KC
Antonio Gibson,RB,4700.00,NE
Javonte Williams,RB,5200.00,DEN
Blake Watson,RB,4000.00,DEN
Dameon Pierce,RB,4900.00,HOU
Tyrone Tracy Jr.,RB,6000.00,NYG
Zamir White,RB,4200.00,LV
Chris Rodriguez Jr.,RB,4000.00,WAS
Jordan Mason,RB,5000.00,SF
Emari Demercado,RB,4100.00,ARI
Dante Miller,RB,4000.00,NYG
Dylan Laube,RB,4000.00,LV
Tyler Badie,RB,4000.00,DEN
Julius Chestnut,RB,4000.00,TEN
Keaontay Ingram,RB,4000.00,KC
Isaac Guerendo,RB,4000.00,SF
Chris Brooks,RB,4000.00,GB
British Brooks,RB,4000.00,HOU
Jermar Jefferson,RB,4000.00,DET
Jashaun Corbin,RB,4000.00,NYG
Deneric Prince,RB,4000.00,MIA
Hunter Luepke,RB,4000.00,DAL
Kevin Harris,RB,4000.00,NE
Eric Gray,RB,4000.00,NYG
D.J. Williams,RB,4000.00,TB
Roschon Johnson,RB,4600.00,CHI
Jawhar Jordan,RB,4000.00,HOU
Kenneth Walker III,RB,6900.00,SEA
Zach Charbonnet,RB,4300.00,SEA
Sincere McCormick,RB,4000.00,LV
Craig Reynolds,RB,4000.00,DET
Tyler Goodson,RB,4100.00,IND
Tyjae Spears,RB,4400.00,TEN
Kenny McIntosh,RB,4000.00,SEA
Evan Hull,RB,4000.00,IND
Rhamondre Stevenson,RB,5900.00,NE
Ian Wheeler,RB,4000.00,CHI
Michael Wiley,RB,4000.00,WAS
Terrell Jennings,RB,4000.00,NE
MarShawn Lloyd,RB,4800.00,GB
Jahmyr Gibbs,RB,7300.00,DET
Ellis Merriweather,RB,4000.00,GB
Sean Tucker,RB,4600.00,TB
Deuce Vaughn,RB,4000.00,DAL
Rachaad White,RB,5400.00,TB
Dillon Johnson,RB,4000.00,CAR
De'Von Achane,RB,7500.00,MIA
Jabari Small,RB,4000.00,TEN
Trey Benson,RB,4500.00,ARI
Jaleel McLaughlin,RB,4500.00,DEN
Jaylen Wright,RB,4500.00,MIA
Bucky Irving,RB,5300.00,TB
Carson Steele,RB,4000.00,KC
Audric Estime,RB,4700.00,DEN
Jonathon Brooks,RB,4800.00,CAR
Sione Vaki,RB,4000.00,DET
Emanuel Wilson,RB,4400.00,GB
Kyle Juszczyk,RB,4000.00,SF
Michael Burton,RB,4000.00,DEN
Ameer Abdullah,RB,4300.00,LV
Raheem Mostert,RB,5000.00,MIA
Dare Ogunbowale,RB,4200.00,HOU
Ezekiel Elliott,RB,4600.00,DAL
Aaron Jones,RB,6400.00,MIN
James Conner,RB,6500.00,ARI
Kareem Hunt,RB,5700.00,KC
Austin Ekeler,RB,5600.00,WAS
Joe Mixon,RB,8000.00,HOU
Samaje Perine,RB,4300.00,KC
Dalvin Cook,RB,4200.00,DAL
Christian McCaffrey,RB,8500.00,SF
Chase Edmonds,RB,4000.00,TB
Jeff Wilson Jr.,RB,4000.00,MIA
Jeremy McNichols,RB,4100.00,WAS
Mike Boone,RB,4000.00,CAR
Myles Gaskin,RB,4000.00,MIN
Joshua Kelley,RB,4000.00,TEN
Alec Ingold,RB,4000.00,MIA
Tony Pollard,RB,5800.00,TEN
JaMycal Hasty,RB,4000.00,NE
Darrynton Evans,RB,4000.00,CHI
C.J. Ham,RB,4000.00,MIN
Devin Singletary,RB,4900.00,NYG
Brittain Brown,RB,4000.00,SEA
Travis Homer,RB,4000.00,CHI
Miles Sanders,RB,4000.00,CAR
Rico Dowdle,RB,5500.00,DAL
J.J. Taylor,RB,4000.00,HOU
