Name,Position,Salary,Team,Kickoff
Jordan Whittington,WR,4400.00,LAR,Sun 4:25PM
Ahmarean Brown,WR,4000.00,BUF,Sun 4:25PM
Tre Mosley,WR,4000.00,CIN,Mon 8:15PM
Wan'Dale Robinson,WR,5400.00,NYG,Sun 1:00PM
Garrett Wilson,WR,7200.00,NYJ,Sun 1:00PM
Tre Tucker,WR,5300.00,LV,Sun 1:00PM
Nsimba Webster,WR,4000.00,CHI,Sun 4:25PM
Malik Taylor,WR,4000.00,NYJ,Sun 1:00PM
Corey Crooms Jr.,WR,4000.00,DAL,Mon 8:15PM
Jeff Foreman,WR,4000.00,LV,Sun 1:00PM
Tom Kennedy,WR,4000.00,DET,Thu 8:15PM
Gunner Olszewski,WR,4000.00,NYG,Sun 1:00PM
Jha'Quan Jackson,WR,4100.00,TEN,Sun 1:00PM
Jalen Cropper,WR,4000.00,DAL,Mon 8:15PM
George Pickens,WR,7500.00,PIT,Sun 1:00PM
Treylon Burks,WR,4200.00,TEN,Sun 1:00PM
Dontayvion Wicks,WR,5400.00,GB,Thu 8:15PM
Tahj Washington,WR,4000.00,MIA,Sun 1:00PM
Jalon Calhoun,WR,4000.00,DET,Thu 8:15PM
Malik Washington,WR,4300.00,MIA,Sun 1:00PM
Terique Owens,WR,4000.00,SF,Sun 4:25PM
Rashee Rice,WR,4000.00,KC,Sun 8:20PM
Jameson Williams,WR,6200.00,DET,Thu 8:15PM
Tayvion Robinson,WR,4000.00,CAR,Sun 1:00PM
Casey Washington,WR,4000.00,ATL,Sun 1:00PM
Isaiah Williams,WR,4000.00,CIN,Mon 8:15PM
Skyy Moore,WR,4000.00,KC,Sun 8:20PM
Jonathan Mingo,WR,4500.00,DAL,Mon 8:15PM
Xavier Gipson,WR,4600.00,NYJ,Sun 1:00PM
Joshua Cephus,WR,4000.00,JAC,Sun 1:00PM
Drake London,WR,7900.00,ATL,Sun 1:00PM
Jamari Thrash,WR,4000.00,CLE,Sun 1:00PM
Xavier Smith,WR,4100.00,LAR,Sun 4:25PM
Peter LeBlanc,WR,4000.00,CHI,Sun 4:25PM
Ainias Smith,WR,4500.00,PHI,Sun 1:00PM
David Bell,WR,4000.00,CLE,Sun 1:00PM
Xavier Legette,WR,5500.00,CAR,Sun 1:00PM
Xavier Weaver,WR,4000.00,ARI,Sun 4:05PM
Jacob Cowing,WR,4000.00,SF,Sun 4:25PM
Cornelius Johnson,WR,4000.00,GB,Thu 8:15PM
Ty James,WR,4000.00,MIN,Sun 1:00PM
Shaquan Davis,WR,4000.00,PIT,Sun 1:00PM
Isaiah Wooden,WR,4000.00,LAC,Sun 8:20PM
Isaiah Winstead,WR,4000.00,NYJ,Sun 1:00PM
Johnny Wilson,WR,5000.00,PHI,Sun 1:00PM
Rome Odunze,WR,5600.00,CHI,Sun 4:25PM
Jalen McMillan,WR,5000.00,TB,Sun 1:00PM
Quentin Johnston,WR,5700.00,LAC,Sun 8:20PM
Malachi Corley,WR,4400.00,NYJ,Sun 1:00PM
Jordan Addison,WR,6000.00,MIN,Sun 1:00PM
Tyler Scott,WR,4000.00,CHI,Sun 4:25PM
Jaxon Smith-Njigba,WR,8000.00,SEA,Sun 4:05PM
Kristian Wilkerson,WR,4000.00,LV,Sun 1:00PM
Mason Kinsey,WR,4000.00,TEN,Sun 1:00PM
Ladd McConkey,WR,7000.00,LAC,Sun 8:20PM
Marcus Rosemy,WR,4000.00,PHI,Sun 1:00PM
Jermaine Burton,WR,4500.00,CIN,Mon 8:15PM
Brenden Rice,WR,4000.00,LAC,Sun 8:20PM
Rakim Jarrett,WR,4700.00,TB,Sun 1:00PM
Danny Gray,WR,4000.00,PHI,Sun 1:00PM
Parker Washington,WR,5800.00,JAC,Sun 1:00PM
Roman Wilson,WR,4000.00,PIT,Sun 1:00PM
Jalen Brooks,WR,4300.00,DAL,Mon 8:15PM
Jason Brownlee,WR,4000.00,NYJ,Sun 1:00PM
Malik Heath,WR,4300.00,GB,Thu 8:15PM
Tulu Griffin,WR,4000.00,CLE,Sun 1:00PM
Jalin Hyatt,WR,4600.00,NYG,Sun 1:00PM
Raleigh Webb,WR,4000.00,TB,Sun 1:00PM
Chris Blair,WR,4000.00,ATL,Sun 1:00PM
Brian Thomas Jr.,WR,6900.00,JAC,Sun 1:00PM
Malik Nabers,WR,8300.00,NYG,Sun 1:00PM
Samori Toure,WR,4000.00,CHI,Sun 4:25PM
Marvin Harrison Jr.,WR,6800.00,ARI,Sun 4:05PM
Je'Quan Burton,WR,4000.00,MIA,Sun 1:00PM
