Name,Position,Salary,Team,Kickoff
Stone Smartt,TE,4500.00,LAC,Sun 8:20PM
Stephen Carlson,TE,4000.00,CHI,Sun 4:25PM
Matt Orzech,TE,4000.00,GB,Thu 8:15PM
Leroy Watson IV,TE,4000.00,TEN,Sun 1:00PM
Jesper Horsted,TE,4000.00,CAR,Sun 1:00PM
Jody Fortson Jr.,TE,4000.00,KC,Sun 8:20PM
Sam LaPorta,TE,6100.00,DET,Thu 8:15PM
Treyton Welch,TE,4000.00,NO,Sun 1:00PM
Luke Benson,TE,4000.00,LAC,Sun 8:20PM
Mason Fairchild,TE,4000.00,NO,Sun 1:00PM
Isaac Rex,TE,4000.00,LAC,Sun 8:20PM
Luke Musgrave,TE,4100.00,GB,Thu 8:15PM
Neal Johnson,TE,4000.00,MIN,Sun 1:00PM
Hayden Rucci,TE,4000.00,MIA,Sun 1:00PM
Theo Johnson,TE,5100.00,NYG,Sun 1:00PM
Darnell Washington,TE,4600.00,PIT,Sun 1:00PM
AJ Barner,TE,5000.00,SEA,Sun 4:05PM
Tip Reiman,TE,4100.00,ARI,Sun 4:05PM
Michael Mayer,TE,4300.00,LV,Sun 1:00PM
Jordan Murray,TE,4000.00,NYG,Sun 1:00PM
Dalton Kincaid,TE,5700.00,BUF,Sun 4:25PM
