Name,Position,Salary,Team
Alvin Kamara,RB,8200.00,NO
Samaje Perine,RB,4600.00,KC
Nick Chubb,RB,6000.00,CLE
Christian McCaffrey,RB,8300.00,SF
Jeff Wilson Jr.,RB,4400.00,MIA
D'Onta Foreman,RB,4000.00,CLE
D'Ernest Johnson,RB,4000.00,JAC
Myles Gaskin,RB,4000.00,MIN
Ty Johnson,RB,4300.00,BUF
Ke'Shawn Vaughn,RB,4000.00,SF
Joshua Kelley,RB,4000.00,TEN
Nyheim Hines,RB,4000.00,CLE
Alec Ingold,RB,4000.00,MIA
Tony Pollard,RB,6400.00,TEN
Adam Prentice,RB,4000.00,NO
JaMycal Hasty,RB,4100.00,NE
Darrynton Evans,RB,4000.00,CHI
Reggie Gilliam,RB,4000.00,BUF
C.J. Ham,RB,4000.00,MIN
Brittain Brown,RB,4000.00,SEA
Travis Homer,RB,4000.00,CHI
Justice Hill,RB,5200.00,BAL
Patrick Taylor Jr.,RB,4300.00,SF
Alexander Mattison,RB,5500.00,LV
Avery Williams,RB,4000.00,ATL
Josh Jacobs,RB,7100.00,GB
David Montgomery,RB,6500.00,DET
Kene Nwangwu,RB,4000.00,NYJ
Najee Harris,RB,6200.00,PIT
Trey Sermon,RB,4300.00,IND
Cam Akers,RB,4600.00,MIN
Robert Burns,RB,4000.00,ATL
Clyde Edwards-Helaire,RB,5000.00,KC
Jordan Mims,RB,4000.00,NO
Ronnie Rivers,RB,4000.00,LAR
Travis Etienne Jr.,RB,6300.00,JAC
Tarik Black,WR,3000.00,MIA
Donovan Peoples-Jones,WR,3000.00,DET
Colton Dowell,WR,3000.00,TEN
Lance McCutcheon,WR,3000.00,PIT
Jaelon Darden,WR,3000.00,CLE
Austin Trammell,WR,3000.00,JAC
Tim Jones,WR,3100.00,JAC
Cody White,WR,3000.00,SEA
Julian Hicks,WR,3000.00,GB
Brandon Smith,WR,3000.00,NYJ
Thayer Thomas,WR,3000.00,MIN
Montrell Washington,WR,3000.00,KC
Laviska Shenault Jr.,WR,3100.00,SEA
